Leighton Electronics - IOT IR Web Remote.,,,,,
Version 1.00 201901271922 PME.,,,,,
Append action binary after device binary for full word.,,,,,
=================,===================,============================,============================,,
Device,Action,Binary control words,,,
=================,===================,============================,============================,,
Samsung TV,PN59 00936A,,,,
samsungtv,device,10101011111101010111111,,,
samsungtv,power,101111111011010101010101,,,
samsungtv,volume-up,010101111111110101010101,,,
samsungtv,volume-down,010110111111101101010101,,,
samsungtv,source,011111111101010101010101,,,
samsungtv,arrow-up,111110101101010101011101,,,
samsungtv,arrow-down,011111010111010101011101,,,
samsungtv,arrow-left,011011101011101101011101,,,
samsungtv,arrow-right,101111010110110101011101,,,
samsungtv,arrow-centre,111011010110101011011101,,,
samsungtv,exit,011010110111101110110101,,,
samsungtv,return,111010110110101011101101,,,
samsungtv,tools,010110111011110110101101,,,
samsungtv,info,010101010111111111010101,,,
samsungtv,1,110111111010110101010101,,,
samsungtv,2,011011111110110101010101,,,
samsungtv,3,101011111101110101010101,,,
samsungtv,4,111011111010101101010101,,,
samsungtv,5,011101111110101101010101,,,
samsungtv,6,101101111101101101010101,,,
samsungtv,7,110101111101011101010101,,,
samsungtv,8,011010111111011101010101,,,
samsungtv,9,101010111110111101010101,,,
samsungtv,0,011110111110101011010101,,,
samsungtv,pre-ch,010111011111101011010101,,,
samsungtv,fav-ch,110111101101011010101101,,,
samsungtv,Guide,010101011101111110101101,,,
samsungtv,ch-list,010110110101111011011101,,,
samsungtv,red,110101101011010111011101,,,
samsungtv,green,110110111101011011010101,,,
samsungtv,yellow,011011011111011011010101,,,
samsungtv,blue,101011011110111011010101,,,
samsungtv,channel-up,101110111101101011010101,,,
samsungtv,channel-down,111101111010101011010101,,,
samsungtv,mute,010101011111111101010101,,,
samsungtv,ttx-mix,110101101110101110110101,,,
samsungtv,media-p,110101111010101110101011,,,
samsungtv,p-size,101010101011101111110101,,,
samsungtv,dual,111111110101010101010101,,,
samsungtv,ad,010101110111111010110101,,,
samsungtv,subtitles,011011101111011010110101,,,
samsungtv,rewind,011011110111011010101101,,,
samsungtv,pause,101101110110110110101101,,,
samsungtv,fastforward,111011101101010110101101,,,
samsungtv,record,011101110111010110101101,,,
samsungtv,play,010101111011111010101101,,,
samsungtv,stop,101011110110111010101101,,,
=================,===================,============================,============================,,
LG Bluray Player ,AKB73375501,,,,
lgblurayplayer,device,1011010110111011010110111,,,
lgblurayplayer,power,111101011101010101110101,,,
lgblurayplayer,eject,101011010111011101110101,,,
lgblurayplayer,1,010110101011111011110101,,,
lgblurayplayer,2,110101010111010111110101,,,
lgblurayplayer,3,011010101011110111110101,,,
lgblurayplayer,4,101010101011101111110101,,,
lgblurayplayer,5,010101010101111111110101,,,
lgblurayplayer,6,111111011010101010101101,,,
lgblurayplayer,7,011111101110101010101101,,,
lgblurayplayer,8,101111101101101010101101,,,
lgblurayplayer,9,010111110111101010101101,,,
lgblurayplayer,0,110111101101011010101101,,,
lgblurayplayer,clear,101011110110111010101101,,,
lgblurayplayer,repeat,010111011011110101101101,,,
lgblurayplayer,previous,011011010111101101110101,,,
lgblurayplayer,rewind,101110101110110101110101,,,
lgblurayplayer,fastforward,010111010111110101110101,,,
lgblurayplayer,next,110110101110101101110101,,,
lgblurayplayer,stop,011101010111101011110101,,,
lgblurayplayer,play,011110101111010101110101,,,
lgblurayplayer,pause,111010101110101011110101,,,
lgblurayplayer,home,010101110101111101011101,,,
lgblurayplayer,search,101111010110110101011101,,,
lgblurayplayer,info,101101010111011011110101,,,
lgblurayplayer,arrow-up,010101111011111010101101,,,
lgblurayplayer,arrow-left,011101011011101011101101,,,
lgblurayplayer,arrow-centre,111010110110101011101101,,,
lgblurayplayer,arrow-right,101101011011011011101101,,,
lgblurayplayer,arrow-down,111011101101010110101101,,,
lgblurayplayer,back,011011110111011010101101,,,
lgblurayplayer,title,101101110110110110101101,,,
lgblurayplayer,disc-menu,010110111011110110101101,,,
lgblurayplayer,red,110101010101101011111101,,,
lgblurayplayer,green,011010101010111011111101,,,
lgblurayplayer,yellow,101010101010110111111101,,,
lgblurayplayer,blue,010101010101011111111101,,,
lgblurayplayer,marker,011111010111010101011101,,,
lgblurayplayer,zoom,110111010110101101011101,,,
lgblurayplayer,tv-power,111011111010101101010101,,,
lgblurayplayer,av-input,010110111111101101010101,,,
lgblurayplayer,volume-up,101111111011010101010101,,,
lgblurayplayer,volume-down,010111111111010101010101,,,
lgblurayplayer,channel-up,111111110101010101010101,,,
lgblurayplayer,channel-down,011111111101010101010101,,,
=================,===================,============================,============================,,
Maplin LED strips,,,,,
maplinledstrip,device,111111111010101010101010,,,
maplinledstrip,on,1010101111111110101010101,,,
maplinledstrip,off,1101011111101110101010101,,,
maplinledstrip,down,1110111111010110101010101,,,
maplinledstrip,up,1011011111110110101010101,,,
maplinledstrip,white,1010110111111101101010101,,,
maplinledstrip,flash,1010101011111111101010101,,,
maplinledstrip,strobe,1010101101111111011010101,,,
maplinledstrip,fade,1010101101111111011010101,,,
maplinledstrip,smooth,1010111011111101011010101,,,
maplinledstrip,blue1,1101101111101101101010101,blue,,
maplinledstrip,blue2,1101010111110111101010101,dark-purple,,
maplinledstrip,blue3,1101011011110111011010101,purple,,
maplinledstrip,blue4,1101101011110110111010101,light-purple,,
maplinledstrip,blue5,1101110111101101011010101,pink,,
maplinledstrip,green1,1111011111010101101010101,green,,
maplinledstrip,green2,1110101111101011101010101,light-green,,
maplinledstrip,green3,1110110111101011011010101,light-blue,,
maplinledstrip,green4,1111010111101010111010101,blue,,
maplinledstrip,green5,1111101111010101011010101,dark-blue,,
maplinledstrip,red1,1011101111110101101010101,red,,
maplinledstrip,red2,1011010111111011101010101,light-orange,,
maplinledstrip,red3,1011011011111011011010101,orange,,
maplinledstrip,red4,1011101011111010111010101,dark-yellow,,
maplinledstrip,red5,1011110111110101011010101,yellow,,
=================,===================,============================,============================,,
